Title,Summary
HBO’s Watchmen reminds Chinese viewers of Hong Kong protests,"Like Joker, Watchmen is drawing comparisons to Hong Kong, and netizens are calling the show too politically correct"
"No regrets, says esports player banned for Hong Kong protest slogan",Hong Kong player Blitzchung banned for a year by Blizzard after wearing a gas mask to an interview following victory in Hearthstone Grandmasters
Nationalists hopping the Great Firewall to attack Hong Kong protesters praised by Chinese state media,CCTV praises patriotic netizens on Facebook and Twitter while Xinhua and others pay blocked sites to promote anti-protest propaganda
"Apple’s AirDrop, a key tool for Hong Kong protestors, is coming to Android","Chinese smartphone rivals Xiaomi, Oppo and Vivo team up to introduce peer-to-peer wireless file transfers"
Twitter users call for Mulan boycott over actress’s anti-Hong Kong protest meme,Mulan lead actress Liu Yifei reposted a meme endorsing Hong Kong police accused of violence
The Hong Kong Massacre mashes up John Woo with Hotline Miami,Action game is bloody and violent in the tradition of Hong Kong action films
The story of DragonBall: How Motorola created our mobile future in Hong Kong,Can Motorola’s success in the 1990s pave the way for China’s future chip makers?
Hong Kong’s esports festival was a sellout. So why did it feel empty?,"Organizers said 80,000 people attended, but Josh saw plenty of seats empty for the esports tournaments -- even during the PUBG event, the centerpiece of the festival. Instead, it seems people preferred to play games themselves at demo stations at the festival. Hong Kong's stumbling attempt to become an esports hub stand in stark contrast to Shanghai -- which will host next year's The International for Dota 2, the first time the richest tournament in esports will be held outside North America."
"PUBG, LoL and CS:GO headline Hong Kong's esports festival","Organizers said the event drew 80,000 people, but we saw plenty of empty seats"
"Cloud9 takes home US$75,000 first prize at the Hong Kong PUBG World Invitational","Cloud9, Faze Clan and Team Liquid took top three, with OMG sitting at No.9"
Team Hong Kong reveal struggles ahead of Overwatch World Cup,"Representing your city at the World Cup is an amazing opportunity, but preparing for an international esports tournament in Hong Kong is tougher than you think"
CS: GO in China will soon sound like a Hong Kong mafia movie,"Donnie Yen, Daniel Wu, Andy Lau and Stephen Chow quotes will be in the Chinese version of Counter-Strike: Global Offensive"
Hong Kong’s PUBG teams on their way to competing with the international pros,GDE and HK9 share what it takes to get into the esports scene
Hong Kong embraces battle royale fever with PUBG tournament,It’s a rare chance for aspiring local players to try their hand at an official esports competition
Hong Kong’s nano drone racers find space to fly in concrete jungle ,Finding space to fly a drone among Hong Kong's densely packed skyscrapers isn't easy. But that hasn't stopped the city's tight-knit community of racing enthusiasts. Watch our video to see what it's like to race through an indoor playground -- through the eyes of a drone. 
Securing smartphones is now a priority for Hong Kong protesters,
