Title,Author
"A victory for Malaysia’s judicial independence. Whatever the political fallout from the conviction and jailing of former prime minister Najib Razak, the country’s courts deserve a pat on the back.",SCMP Editorial
"Sensible policies are needed to win the war on coronavirus. As the ill-conceived and now-overturned ban on dine-in services shows, piecemeal responses by the government can backfire.",SCMP Editorial
"Mainland and overseas Chinese may be worlds apart over China. Such diverse groups necessarily have very different political priorities and sympathies, leading to misreading by self-centred Washington and Beijing.",Alex Lo
"Food for thought as rules to curb pandemic hurt Hong Kong workers. The decision to ban restaurants from offering dine-in services has left many with no place to eat lunch, except on the streets and even in public toilets.",SCMP Editorial
"University challenge: HKU must work to restore its reputation. The sacking of academic Benny Tai, one of the founders of the 2014 Occupy civil disobedience movement, has come at a time when society is already divided, with some now questioning the institution’s independence.",SCMP Editorial
"Why both sides get Benny Tai’s case wrong. His teaching of civil disobedience is perfectly justified but his firing is not about academic interference, rather it’s the fact that he has been criminally convicted.",Alex Lo
"There is no new cold war, the West is just losing influence in Eurasia. Is there a new axis between China, Russia and Iran against the West? Not quite. Beneath the surface of the anti-US alliance, there are undercurrents of hostility and scepticism. Across Eurasia, there is also a reluctance to take sides.",Raffaello Pantucci
"Masks are here to stay – we just need to keep them out of our landfills and seas. Every day, 10-15 tonnes of discarded masks end up in Hong Kong’s landfills, and more wash up on the beaches. The challenge is for Hong Kong is to design a mask that meets expert standards and is environmentally sustainable.",Bernard Chan
"Huawei’s troubles show why China’s tech titans will struggle to go global. If Beijing is serious about becoming a global tech power, then innovation is not enough; it needs real rule of law. Chinese companies will be treated fairly abroad only if China’s legal system evolves.",Andrei Lungu
"Hong Kong third wave: return to common sense and get people back to work. We have learned much about the virus, and we need to play the odds we have learned in order to stop crippling our economy and avert the worst recession in modern times. Risk can never be eliminated, but we must be willing to accept some pain as we try to restart our economy.",Richard Harris
End of ‘golden era’ in UK-China relations goes beyond any US meddling. The Johnson government’s sudden about-turn in favour of a confrontational approach towards China may not be entirely accounted for by the desire to break free of the EU or bowing to Washington’s influence.,Bob Savic
"Hong Kong courts duty-bound to follow the evidence in protest trials. Not everyone will agree with the ruling of judges when it comes to cases stemming from last year’s social unrest, but we must not lose sight of common law principles",SCMP Editorial
"Ad hoc response to pandemic shows gaps in Hong Kong’s governance. Officials have offered various forms of subsidies to ailing businesses, but the need for more targeted and decisive action is mounting by the day.",SCMP Editorial
"It’s the US stirring the pot in South China Sea. Manila and Beijing want to normalise relations, but Washington is standing in the way",Alex Lo
"Why the world needs a saner US approach to China. To the Trump administration, China is a threat, but it is also a critical nation for any global response to issues from climate change to pandemics. Effective US policy on China requires genuine alliances, and must not alienate the Chinese people",Michael Swaine
"Why Donald Trump’s order to end China Fulbright exchange is dangerous. The Fulbright exchange programme was born out of hopes for peace after second world war and reflected realism about the need to avoid another cataclysm. Stopping the flow of Fulbrighters between China and the US undermines decades of effort to build understanding and cooperation, and avoid uninformed miscalculations.","James V. Wertsch,Mark S. Wrighton"
"Coronavirus recovery: China’s Belt and Road is the ideal route for developing nations. There can be no global recovery, especially for developing countries, without a recovery in the cross-border flow of capital, goods and services. The Belt and Road Initiative can make a vital contribution, if it can be truly international, high quality and sustainable.",Mukhtar Hussain
"Why China is not gunning for a roaring economic recovery. China’s GDP rebound belies an uneven recovery and a widening gap between the real economy and capital markets. Instead of more stimulus, Beijing will want to rebalance the economy and carefully unwind policy easing.",Aidan Yao
"America’s polarisation over face masks a symptom of deeper culture war. The pandemic and the protests of recent months should serve as a reminder of a simple truth: a mask is just a mask. What matters for democracy is not whether people cover their faces in public, but which people do so and why.",Hugo Drochon
"By banning Huawei, Britain is turning its back on a 5G-dominated future. The UK could either choose to cooperate with Huawei and gain an edge in the era of the digital economy, or refuse and give up leadership in a 5G-dominated future. History does not wait for the hesitant.",Liu Xiaoming
"China must act now before the brain drain worsens. After dozens of people abruptly resigned from one of China’s premier nuclear research facilities, authorities must examine whether scientists are being given a fair deal.",SCMP Editorial
"We should all adhere to the new measures to combat coronavirus. The tougher rules, particularly those governing crews manning ships, could have come earlier, but it’s still not too late to turn the tide.",SCMP Editorial
"Poor Nixon must be rolling in his grave. Mutual engagement between China and the US remains the only sane option today, something that US Secretary of State Mike Pompeo is dangerously trying to undermine",Alex Lo
Donald Trump’s ending of Fulbright programme will only hurt Hong Kong and erode US cultural influence. The inexplicable decision is just the latest in a sequence of self-defeating moves that will weaken America’s global cultural and educational influence.,David Lampton
"Icy US-China relations and raging pandemic mean sliding dollar may have further to fall. While investors flocked to the greenback early in the pandemic, the George Floyd protests, consulate closures and the US’ Covid-19 response have all made markets reassess their positions.",Neal Kimberley
"How the China-Iran economic and security deal endangers India’s strategic interests in the Middle East. The deal, which throws Iran a vital lifeline and gives China access to Iran’s hydrocarbon reserves, imperils India’s strategic stake in the Chabahar port project.",Neeta Lal
"US-China relations: Pompeo speech shows few new ideas towards the ‘evil empire’. US secretary of state’s recycling of Reagan-era phrase shows some ideas are too good to retire, especially in the absence of new ones. Neither China nor the US appear to care what anyone thinks, leading to a perfect storm of distrust and communication failures.",Tom Plate
"Donald Trump can ensure a V-shaped economic recovery by heeding lessons of 1921. During the depression of 1921, the Harding government did not intervene in the market, resulting in a quicker recovery. The Trump administration must cleave to market principles, cease stimulus measures, rein in the Fed and resist protectionist impulses.",Walter E. Block
"Is Europe’s stimulus spending out of control? One way forward is to patch up trade relations with China. The amount of money earmarked for European recovery is huge, with scant regard for the consequences. Both the EU and China need more bilateral trade to stand any hope of a stronger recovery this year, but concessions and compromise will be needed.",David Brown
"Hong Kong third wave: the focus on protests shows flawed government priorities. The failure to address preserving people’s health and livelihoods in the security law reveals how blinkered leaders are. Unlike someone protesting for rights, someone with Covid-19 symptoms who goes on as if there is nothing wrong is harming public health.",Peter Kammerer
